xflr5 v6.61

Plane name :, TaperWing
Polar name :, T1-30.0 m/s-VLM2
Freestream speed :, 30.0 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   -8.000,     0.000,  -0.357413,   0.003463,   0.021153,   0.024616,   0.000000,   0.000000,   0.081262,   0.000000,  -0.000000,   30.0000,    0.0458
   -7.000,     0.000,  -0.270110,   0.001976,   0.018303,   0.020279,   0.000000,   0.000000,   0.038429,   0.000000,  -0.000000,   30.0000,    0.0282
   -6.000,     0.000,  -0.182633,   0.000902,   0.015822,   0.016724,   0.000000,   0.000000,  -0.004695,   0.000000,  -0.000000,   30.0000,   -0.0062
   -5.000,     0.000,  -0.095031,   0.000245,   0.014113,   0.014358,   0.000000,   0.000000,  -0.048049,   0.000000,  -0.000000,   30.0000,   -0.1041
   -4.000,     0.000,  -0.007354,   0.000008,   0.012813,   0.012822,   0.000000,   0.000000,  -0.091623,   0.000000,  -0.000000,   30.0000,   -2.5350
   -3.000,     0.000,   0.080351,   0.000195,   0.011585,   0.011780,   0.000000,  -0.000000,  -0.135400,   0.000000,   0.000000,   30.0000,    0.3408
   -2.000,     0.000,   0.168035,   0.000805,   0.010737,   0.011542,  -0.000000,  -0.000000,  -0.179303,   0.000000,   0.000000,   30.0000,    0.2150
   -1.000,     0.000,   0.255648,   0.001837,   0.010031,   0.011869,  -0.000000,  -0.000000,  -0.223308,   0.000000,   0.000000,   30.0000,    0.1754
    0.000,     0.000,   0.343142,   0.003291,   0.009359,   0.012650,  -0.000000,  -0.000000,  -0.267370,   0.000000,   0.000000,   30.0000,    0.1561
    1.000,     0.000,   0.430467,   0.005162,   0.008312,   0.013473,  -0.000000,  -0.000000,  -0.311440,   0.000000,   0.000000,   30.0000,    0.1446
    2.000,     0.000,   0.517577,   0.007446,   0.008018,   0.015464,  -0.000000,  -0.000000,  -0.355428,   0.000000,   0.000000,   30.0000,    0.1370
    3.000,     0.000,   0.604422,   0.010138,   0.008348,   0.018485,  -0.000000,  -0.000000,  -0.399316,   0.000000,   0.000000,   30.0000,    0.1317
    4.000,     0.000,   0.690955,   0.013230,   0.008822,   0.022052,  -0.000000,  -0.000000,  -0.443063,   0.000000,   0.000000,   30.0000,    0.1277
    5.000,     0.000,   0.777128,   0.016715,   0.009340,   0.026054,  -0.000000,  -0.000000,  -0.486621,   0.000000,   0.000000,   30.0000,    0.1246
    6.000,     0.000,   0.862896,   0.020582,   0.009893,   0.030475,  -0.000000,  -0.000000,  -0.529936,   0.000000,   0.000000,   30.0000,    0.1221
    7.000,     0.000,   0.948210,   0.024822,   0.010474,   0.035296,  -0.000000,  -0.000000,  -0.572958,   0.000000,   0.000000,   30.0000,    0.1202
    8.000,     0.000,   1.033027,   0.029422,   0.011099,   0.040521,  -0.000000,  -0.000000,  -0.615636,   0.000000,   0.000000,   30.0000,    0.1185
    9.000,     0.000,   1.117301,   0.034370,   0.011753,   0.046123,  -0.000000,  -0.000000,  -0.657919,   0.000000,   0.000000,   30.0000,    0.1172
   10.000,     0.000,   1.200988,   0.039652,   0.012542,   0.052194,  -0.000000,  -0.000000,  -0.699760,   0.000000,  -0.000000,   30.0000,    0.1160
   11.000,     0.000,   1.284045,   0.045253,   0.013885,   0.059138,  -0.000000,  -0.000000,  -0.741131,   0.000000,  -0.000000,   30.0000,    0.1151


