xflr5 v6.61

Plane name :, StraightWing
Polar name :, T1-171.5 m/s-VLM2
Freestream speed :, 171.5 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   -8.000,     0.000,  -0.348554,   0.003823,   0.082271,   0.086094,   0.000000,   0.000000,  -0.018856,  -0.000000,  -0.000000,  171.5000,   -0.0124
   -7.000,     0.000,  -0.263337,   0.002175,   0.010999,   0.013173,   0.000000,   0.000000,  -0.042061,   0.000000,   0.000000,  171.5000,   -0.0323
   -6.000,     0.000,  -0.177933,   0.000987,   0.009003,   0.009991,   0.000000,   0.000000,  -0.062965,   0.000000,   0.000000,  171.5000,   -0.0715
   -5.000,     0.000,  -0.092391,   0.000267,   0.008241,   0.008508,   0.000000,   0.000000,  -0.083926,   0.000000,   0.000000,  171.5000,   -0.1832
   -4.000,     0.000,  -0.006763,   0.000017,   0.007747,   0.007763,   0.000000,   0.000000,  -0.104950,   0.000000,   0.000000,  171.5000,   -3.1239
   -3.000,     0.000,   0.078900,   0.000240,   0.007418,   0.007657,  -0.000000,   0.000000,  -0.126017,   0.000000,  -0.000000,  171.5000,    0.3209
   -2.000,     0.000,   0.164549,   0.000937,   0.007234,   0.008171,  -0.000000,   0.000000,  -0.147103,   0.000000,   0.000000,  171.5000,    0.1793
   -1.000,     0.000,   0.250131,   0.002108,   0.007103,   0.009211,   0.000000,   0.000000,  -0.168186,   0.000000,   0.000000,  171.5000,    0.1347
    0.000,     0.000,   0.335596,   0.003751,   0.007021,   0.010772,   0.000000,   0.000000,  -0.189241,  -0.000000,  -0.000000,  171.5000,    0.1128
    1.000,     0.000,   0.420893,   0.005862,   0.006971,   0.012833,   0.000000,   0.000000,  -0.210242,   0.000000,  -0.000000,  171.5000,    0.0998
    2.000,     0.000,   0.505972,   0.008438,   0.006932,   0.015369,   0.000000,   0.000000,  -0.231164,   0.000000,  -0.000000,  171.5000,    0.0912
    3.000,     0.000,   0.590783,   0.011471,   0.006903,   0.018374,   0.000000,   0.000000,  -0.251981,  -0.000000,  -0.000000,  171.5000,    0.0851
    4.000,     0.000,   0.675275,   0.014954,   0.006786,   0.021739,   0.000000,   0.000000,  -0.272667,   0.000000,  -0.000000,  171.5000,    0.0805
    5.000,     0.000,   0.759400,   0.018878,   0.006505,   0.025384,   0.000000,   0.000000,  -0.293194,   0.000000,   0.000000,  171.5000,    0.0770
    6.000,     0.000,   0.843109,   0.023234,   0.006353,   0.029587,   0.000000,   0.000000,  -0.313543,   0.000000,   0.000000,  171.5000,    0.0742
    7.000,     0.000,   0.926353,   0.028009,   0.006456,   0.034465,   0.000000,   0.000000,  -0.333693,  -0.000000,  -0.000000,  171.5000,    0.0719
    8.000,     0.000,   1.009086,   0.033191,   0.006728,   0.039919,   0.000000,   0.000000,  -0.353621,  -0.000000,   0.000000,  171.5000,    0.0700
    9.000,     0.000,   1.091261,   0.038764,   0.007177,   0.045942,   0.000000,   0.000000,  -0.373306,  -0.000000,   0.000000,  171.5000,    0.0684
   10.000,     0.000,   1.172831,   0.044715,   0.007990,   0.052706,   0.000000,   0.000000,  -0.392733,  -0.000000,  -0.000000,  171.5000,    0.0671
   11.000,     0.000,   1.253753,   0.051027,   0.009717,   0.060744,   0.000000,   0.000000,  -0.411909,   0.000000,   0.000000,  171.5000,    0.0659
   12.000,     0.000,   1.333982,   0.057681,   0.012841,   0.070522,   0.000000,   0.000000,  -0.430850,  -0.000000,   0.000000,  171.5000,    0.0649
   13.000,     0.000,   1.413475,   0.064659,   0.017711,   0.082370,   0.000000,   0.000000,  -0.449568,  -0.000000,  -0.000000,  171.5000,    0.0640


