xflr5 v6.61

Plane name :, StraightWing
Polar name :, T1-15.0 m/s-VLM2
Freestream speed :, 15.0 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
  -14.000,     0.000,  -0.853157,   0.022931,   0.345312,   0.368242,   0.000000,  -0.000000,   0.119198,  -0.000000,  -0.000000,   15.0000,    0.0245
  -13.000,     0.000,  -0.770096,   0.018703,   0.307815,   0.326518,   0.000000,  -0.000000,   0.096222,  -0.000000,  -0.000000,   15.0000,    0.0217
  -12.000,     0.000,  -0.686556,   0.014876,   0.277111,   0.291987,   0.000000,  -0.000000,   0.073640,  -0.000000,   0.000000,   15.0000,    0.0183
  -11.000,     0.000,  -0.602584,   0.011463,   0.242604,   0.254067,   0.000000,   0.000000,   0.050884,  -0.000000,  -0.000000,   15.0000,    0.0138
  -10.000,     0.000,  -0.518227,   0.008476,   0.203196,   0.211672,   0.000000,  -0.000000,   0.027982,  -0.000000,   0.000000,   15.0000,    0.0079
   -9.500,     0.000,  -0.475919,   0.007146,   0.180209,   0.187356,   0.000000,   0.000000,   0.016444,  -0.000000,  -0.000000,   15.0000,    0.0042
   -9.000,     0.000,  -0.433534,   0.005927,   0.156246,   0.162173,   0.000000,   0.000000,   0.004920,  -0.000000,   0.000000,   15.0000,   -0.0002
   -8.500,     0.000,  -0.391077,   0.004819,   0.113523,   0.118342,   0.000000,   0.000000,  -0.007239,  -0.000000,   0.000000,   15.0000,   -0.0056
   -8.000,     0.000,  -0.348554,   0.003823,   0.030156,   0.033979,   0.000000,   0.000000,  -0.020669,  -0.000000,  -0.000000,   15.0000,   -0.0124
   -7.500,     0.000,  -0.305972,   0.002942,   0.026575,   0.029517,   0.000000,   0.000000,  -0.031173,  -0.000000,  -0.000000,   15.0000,   -0.0210
   -7.000,     0.000,  -0.263337,   0.002175,   0.024434,   0.026609,   0.000000,   0.000000,  -0.041652,   0.000000,  -0.000000,   15.0000,   -0.0323
