xflr5 v6.61

Plane name :, StraightWing
Polar name :, T1-15.0 m/s-VLM2
Freestream speed :, 15.0 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   -6.500,     0.000,  -0.220655,   0.001523,   0.022618,   0.024141,   0.000000,   0.000000,  -0.052144,   0.000000,  -0.000000,   15.0000,   -0.0481
   -6.000,     0.000,  -0.177933,   0.000987,   0.021062,   0.022049,   0.000000,   0.000000,  -0.062650,   0.000000,   0.000000,   15.0000,   -0.0715
   -5.500,     0.000,  -0.135176,   0.000568,   0.020194,   0.020762,   0.000000,   0.000000,  -0.073158,   0.000000,   0.000000,   15.0000,   -0.1097
   -5.000,     0.000,  -0.092391,   0.000267,   0.019121,   0.019387,   0.000000,   0.000000,  -0.083689,   0.000000,  -0.000000,   15.0000,   -0.1832
   -4.500,     0.000,  -0.049585,   0.000083,   0.018013,   0.018096,   0.000000,   0.000000,  -0.094234,   0.000000,   0.000000,   15.0000,   -0.3838
   -4.000,     0.000,  -0.006763,   0.000017,   0.017147,   0.017164,   0.000000,   0.000000,  -0.104786,   0.000000,   0.000000,   15.0000,   -3.1239
   -3.500,     0.000,   0.036067,   0.000069,   0.016288,   0.016357,   0.000000,   0.000000,  -0.115346,   0.000000,   0.000000,   15.0000,    0.6439
   -3.000,     0.000,   0.078900,   0.000240,   0.015456,   0.015696,  -0.000000,   0.000000,  -0.125911,   0.000000,   0.000000,   15.0000,    0.3209
   -2.500,     0.000,   0.121729,   0.000529,   0.014809,   0.015338,  -0.000000,   0.000000,  -0.136477,   0.000000,  -0.000000,   15.0000,    0.2252
   -2.000,     0.000,   0.164549,   0.000937,   0.014191,   0.015128,  -0.000000,   0.000000,  -0.147043,   0.000000,   0.000000,   15.0000,    0.1793
   -1.500,     0.000,   0.207351,   0.001463,   0.013559,   0.015022,   0.000000,   0.000000,  -0.157605,   0.000000,  -0.000000,   15.0000,    0.1524
   -1.000,     0.000,   0.250131,   0.002108,   0.012935,   0.015043,   0.000000,   0.000000,  -0.168161,   0.000000,   0.000000,   15.0000,    0.1347
   -0.500,     0.000,   0.292881,   0.002871,   0.012257,   0.015128,   0.000000,   0.000000,  -0.178707,   0.000000,  -0.000000,   15.0000,    0.1221
    0.000,     0.000,   0.335596,   0.003751,   0.011412,   0.015163,   0.000000,   0.000000,  -0.189241,   0.000000,  -0.000000,   15.0000,    0.1128
    0.500,     0.000,   0.378268,   0.004748,   0.010832,   0.015581,   0.000000,   0.000000,  -0.199758,   0.000000,  -0.000000,   15.0000,    0.1056
    1.000,     0.000,   0.420893,   0.005862,   0.010494,   0.016356,   0.000000,   0.000000,  -0.210257,   0.000000,   0.000000,   15.0000,    0.0998
    1.500,     0.000,   0.463463,   0.007092,   0.010423,   0.017515,   0.000000,   0.000000,  -0.220737,  -0.000000,   0.000000,   15.0000,    0.0951
    2.000,     0.000,   0.505972,   0.008438,   0.010457,   0.018894,   0.000000,   0.000000,  -0.231194,  -0.000000,   0.000000,   15.0000,    0.0912
    2.500,     0.000,   0.548414,   0.009897,   0.010564,   0.020461,   0.000000,   0.000000,  -0.241627,  -0.000000,   0.000000,   15.0000,    0.0879
    3.000,     0.000,   0.590783,   0.011471,   0.010720,   0.022191,   0.000000,   0.000000,  -0.252031,  -0.000000,  -0.000000,   15.0000,    0.0851
    3.500,     0.000,   0.633072,   0.013156,   0.010916,   0.024073,   0.000000,   0.000000,  -0.262404,  -0.000000,   0.000000,   15.0000,    0.0827
    4.000,     0.000,   0.675275,   0.014954,   0.011161,   0.026115,   0.000000,   0.000000,  -0.272744,  -0.000000,   0.000000,   15.0000,    0.0805
    4.500,     0.000,   0.717387,   0.016862,   0.011440,   0.028301,   0.000000,   0.000000,  -0.283046,  -0.000000,   0.000000,   15.0000,    0.0787
    5.000,     0.000,   0.759400,   0.018878,   0.011724,   0.030602,   0.000000,   0.000000,  -0.293308,  -0.000000,   0.000000,   15.0000,    0.0770
    5.500,     0.000,   0.801310,   0.021003,   0.012034,   0.033037,   0.000000,   0.000000,  -0.303527,  -0.000000,   0.000000,   15.0000,    0.0755
    6.000,     0.000,   0.843109,   0.023234,   0.012381,   0.035615,   0.000000,   0.000000,  -0.313700,  -0.000000,   0.000000,   15.0000,    0.0742
    6.500,     0.000,   0.884792,   0.025570,   0.012732,   0.038301,   0.000000,   0.000000,  -0.323824,  -0.000000,   0.000000,   15.0000,    0.0730
    7.000,     0.000,   0.926353,   0.028009,   0.013074,   0.041083,   0.000000,   0.000000,  -0.333895,  -0.000000,  -0.000000,   15.0000,    0.0719
    7.500,     0.000,   0.967787,   0.030550,   0.013452,   0.044001,   0.000000,   0.000000,  -0.343911,  -0.000000,   0.000000,   15.0000,    0.0709
    8.000,     0.000,   1.009086,   0.033191,   0.013832,   0.047023,   0.000000,   0.000000,  -0.353868,  -0.000000,   0.000000,   15.0000,    0.0700
    8.500,     0.000,   1.050246,   0.035929,   0.014172,   0.050102,   0.000000,   0.000000,  -0.363763,  -0.000000,   0.000000,   15.0000,    0.0692
    9.000,     0.000,   1.091261,   0.038764,   0.014524,   0.053289,   0.000000,   0.000000,  -0.373593,  -0.000000,  -0.000000,   15.0000,    0.0684
    9.500,     0.000,   1.132124,   0.041694,   0.014911,   0.056604,   0.000000,   0.000000,  -0.383357,  -0.000000,  -0.000000,   15.0000,    0.0677
   10.000,     0.000,   1.172831,   0.044715,   0.015365,   0.060080,   0.000000,   0.000000,  -0.393053,  -0.000000,  -0.000000,   15.0000,    0.0671
   10.500,     0.000,   1.213376,   0.047827,   0.016006,   0.063833,   0.000000,   0.000000,  -0.402684,  -0.000000,  -0.000000,   15.0000,    0.0665
   11.000,     0.000,   1.253753,   0.051027,   0.030532,   0.081559,   0.000000,   0.000000,  -0.412902,   0.000000,   0.000000,   15.0000,    0.0659
   11.500,     0.000,   1.293957,   0.054312,   0.239173,   0.293485,   0.000000,   0.000000,  -0.432777,  -0.000000,   0.000000,   15.0000,    0.0654


