xflr5 v6.61

Plane name :, TaperWing
Polar name :, T1-171.5 m/s-VLM2
Freestream speed :, 171.5 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   -8.000,     0.000,  -0.357413,   0.003463,   0.078793,   0.082257,   0.000000,   0.000000,   0.087764,   0.000000,  -0.000000,  171.5000,    0.0458
   -7.000,     0.000,  -0.270110,   0.001976,   0.011955,   0.013931,   0.000000,   0.000000,   0.037753,   0.000000,  -0.000000,  171.5000,    0.0282
   -6.000,     0.000,  -0.182633,   0.000902,   0.009474,   0.010376,   0.000000,   0.000000,  -0.005370,  -0.000000,  -0.000000,  171.5000,   -0.0062
   -5.000,     0.000,  -0.095031,   0.000245,   0.008585,   0.008830,   0.000000,   0.000000,  -0.048603,  -0.000000,  -0.000000,  171.5000,   -0.1041
   -4.000,     0.000,  -0.007354,   0.000008,   0.008007,   0.008015,   0.000000,   0.000000,  -0.092067,  -0.000000,  -0.000000,  171.5000,   -2.5350
   -3.000,     0.000,   0.080351,   0.000195,   0.007630,   0.007824,   0.000000,  -0.000000,  -0.135729,   0.000000,   0.000000,  171.5000,    0.3408
   -2.000,     0.000,   0.168035,   0.000805,   0.007420,   0.008225,  -0.000000,  -0.000000,  -0.179550,   0.000000,   0.000000,  171.5000,    0.2150
   -1.000,     0.000,   0.255648,   0.001837,   0.007267,   0.009104,  -0.000000,  -0.000000,  -0.223487,   0.000000,   0.000000,  171.5000,    0.1754
    0.000,     0.000,   0.343142,   0.003291,   0.007177,   0.010467,  -0.000000,  -0.000000,  -0.267486,   0.000000,   0.000000,  171.5000,    0.1561
    1.000,     0.000,   0.430467,   0.005162,   0.007123,   0.012285,  -0.000000,  -0.000000,  -0.311498,   0.000000,   0.000000,  171.5000,    0.1446
    2.000,     0.000,   0.517577,   0.007446,   0.007089,   0.014535,  -0.000000,  -0.000000,  -0.355470,   0.000000,   0.000000,  171.5000,    0.1370
    3.000,     0.000,   0.604422,   0.010138,   0.007069,   0.017207,  -0.000000,  -0.000000,  -0.399350,   0.000000,   0.000000,  171.5000,    0.1317
    4.000,     0.000,   0.690955,   0.013230,   0.006907,   0.020137,  -0.000000,  -0.000000,  -0.443088,   0.000000,   0.000000,  171.5000,    0.1277
    5.000,     0.000,   0.777128,   0.016715,   0.006643,   0.023357,  -0.000000,  -0.000000,  -0.486622,   0.000000,   0.000000,  171.5000,    0.1246
    6.000,     0.000,   0.862896,   0.020582,   0.006396,   0.026978,  -0.000000,  -0.000000,  -0.529899,   0.000000,   0.000000,  171.5000,    0.1221
    7.000,     0.000,   0.948210,   0.024822,   0.006476,   0.031297,  -0.000000,  -0.000000,  -0.572877,   0.000000,   0.000000,  171.5000,    0.1202
    8.000,     0.000,   1.033027,   0.029422,   0.006767,   0.036189,  -0.000000,  -0.000000,  -0.615507,   0.000000,   0.000000,  171.5000,    0.1185
    9.000,     0.000,   1.117301,   0.034370,   0.007203,   0.041574,  -0.000000,  -0.000000,  -0.657741,   0.000000,  -0.000000,  171.5000,    0.1172
   10.000,     0.000,   1.200988,   0.039652,   0.007870,   0.047522,  -0.000000,  -0.000000,  -0.699533,   0.000000,  -0.000000,  171.5000,    0.1160
   11.000,     0.000,   1.284045,   0.045253,   0.008972,   0.054225,  -0.000000,  -0.000000,  -0.740849,   0.000000,  -0.000000,  171.5000,    0.1151


